GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java Text Adventure,com.jadventure.game,Game,140,0,14,0,37,0,11,0,3,0
Java Text Adventure,com.jadventure.game,GameBeans,3,2,0,0,1,1,1,1,1,1
Java Text Adventure,com.jadventure.game,Client,144,0,12,0,40,0,8,0,2,0
Java Text Adventure,com.jadventure.game,JAdventure,211,0,20,0,52,0,15,0,5,0
Java Text Adventure,com.jadventure.game,DeathException,10,0,0,0,4,0,2,0,2,0
Java Text Adventure,com.jadventure.game,QueueProvider,261,0,8,0,59,0,13,0,9,0
Java Text Adventure,com.jadventure.game,CharacterChange,179,0,18,0,49,0,12,0,3,0
Java Text Adventure,com.jadventure.game,GameModeType,48,0,0,0,4,0,4,0,4,0
Java Text Adventure,com.jadventure.game,Trading,474,0,28,0,93,0,18,0,4,0
Java Text Adventure,com.jadventure.game.navigation,LocationManager.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
Java Text Adventure,com.jadventure.game.navigation,LocationManager.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
Java Text Adventure,com.jadventure.game.navigation,LocationType,0,98,0,0,0,9,0,4,0,4
Java Text Adventure,com.jadventure.game.navigation,LocationManager.Locations,3,5,0,0,1,1,1,1,1,1
Java Text Adventure,com.jadventure.game.navigation,Location,259,102,30,0,49,31,26,15,11,15
Java Text Adventure,com.jadventure.game.navigation,Direction,126,0,0,0,17,0,8,0,8,0
Java Text Adventure,com.jadventure.game.navigation,LocationManager,289,196,16,12,71,37,13,10,4,5
Java Text Adventure,com.jadventure.game.navigation,Coordinate,54,88,5,7,5,22,10,5,5,4
Java Text Adventure,com.jadventure.game.entities,Entity,228,363,36,23,45,102,30,41,5,35
Java Text Adventure,com.jadventure.game.entities,NPC,46,309,7,29,14,64,11,15,6,2
Java Text Adventure,com.jadventure.game.entities,Player.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
Java Text Adventure,com.jadventure.game.entities,Player.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
Java Text Adventure,com.jadventure.game.entities,EquipmentLocation,5,103,0,0,0,10,1,3,1,3
Java Text Adventure,com.jadventure.game.entities,Player,1092,487,80,12,185,99,66,16,22,11
Java Text Adventure,com.jadventure.game.menus,BattleMenu,1169,0,124,0,199,0,82,0,10,0
Java Text Adventure,com.jadventure.game.menus,ChooseClassMenu,68,0,6,0,19,0,5,0,2,0
Java Text Adventure,com.jadventure.game.menus,Menus,151,0,10,0,28,0,9,0,4,0
Java Text Adventure,com.jadventure.game.menus,MainMenu,364,0,54,0,89,0,37,0,7,0
Java Text Adventure,com.jadventure.game.menus,MenuItem,65,0,2,0,19,0,10,0,9,0
Java Text Adventure,com.jadventure.game.prompts,CommandCollection,737,0,78,0,173,0,72,0,28,0
Java Text Adventure,com.jadventure.game.prompts,BackpackDebugPrompt,81,0,14,0,30,0,10,0,3,0
Java Text Adventure,com.jadventure.game.prompts,CommandParser,233,0,30,0,50,0,18,0,3,0
Java Text Adventure,com.jadventure.game.repository,ItemRepository,40,358,5,15,9,79,5,20,0,15
Java Text Adventure,com.jadventure.game.repository,RepositoryException,9,0,0,0,4,0,2,0,2,0
Java Text Adventure,com.jadventure.game.monsters,Goblin,78,0,0,0,14,0,1,0,1,0
Java Text Adventure,com.jadventure.game.monsters,Giant,70,0,0,0,14,0,1,0,1,0
Java Text Adventure,com.jadventure.game.monsters,Skeleton,68,0,0,0,14,0,1,0,1,0
Java Text Adventure,com.jadventure.game.monsters,MonsterFactory,174,0,26,0,36,0,22,0,7,0
Java Text Adventure,com.jadventure.game.monsters,Bugbear,68,0,0,0,14,0,1,0,1,0
Java Text Adventure,com.jadventure.game.monsters,Monster,80,0,12,0,26,0,11,0,5,0
Java Text Adventure,com.jadventure.game.monsters,Troll,76,0,0,0,14,0,1,0,1,0
Java Text Adventure,com.jadventure.game.monsters,MonsterFactory.new Object() {...},40,0,0,0,1,0,1,0,1,0
Java Text Adventure,com.jadventure.game.monsters,Wolf,64,0,0,0,14,0,1,0,1,0
Java Text Adventure,com.jadventure.game.items,Item,54,109,5,7,8,30,5,15,1,13
Java Text Adventure,com.jadventure.game.items,ItemStack,4,15,0,0,2,6,1,3,1,3
Java Text Adventure,com.jadventure.game.items,Storage,138,253,12,26,27,57,14,25,6,14
Java Text Adventure,com.jadventure.game.conversation,ConversationManager.new Object() {...},58,0,0,0,2,0,1,0,1,0
Java Text Adventure,com.jadventure.game.conversation,Line,69,39,10,0,15,14,7,6,2,6
Java Text Adventure,com.jadventure.game.conversation,ConversationManager,172,291,26,15,46,62,19,13,3,6
Java Text Adventure,com.jadventure.game.conversation,ConditionType,9,69,0,0,0,7,2,2,2,2
Java Text Adventure,com.jadventure.game.conversation,ActionType,9,79,0,0,0,8,2,2,2,2
